Sl No,Name of the bank,NBIN,IFSC,Type,P2A,Default IFSC
152,Meghalaya Rural Bank,8185,SBIN0RRMEGB,RRB,Live,
153,Vananchal Gramin Bank,8178,SBIN0RRVCGB,RRB,Live,
154,Madhyanchal Gramin Bank,8186,SBIN0RRMBGB,RRB,Live,
155,Telangana Grameena bank,8179,SBHY0RRDCGB,RRB,Live,
156,Odisha Gramya Bank,8329,IOBA0ROGB01,RRB,Live,
157,Bharat Co-operative Bank,9112,BCBM0000001,Co-operative Bank,Live,
158,SVC Co-op Bank Limited,9089,SVCB,Co-operative Bank,Live,
159,The Jalgaon Peoples Co-op Bank Ltd,9740,JPCB,Co-operative Bank,Live,
160,Langpi Dehangi Rural Bank,8184,SBIN0RRLDGB,RRB,Live,
161,Arunachal Pradesh Rural Bank,8182,SBIN0RRARGB,RRB,Live,
162,Mizoram Rural Bank,8183,SBIN0RRMIGB,RRB,Live,
163,Weizmann Impex,8830,NA,PPI (only for sending),Live,
164,Shivajirao Bhosale Sahakari Bank Ltd.,8311,HDFC0CSBB01,Co-operative Bank,Live,
165,Kedia Infotech Limited,8831,NA,PPI (only for sending),Live,
166,Ahmednagar Merchant's Co-op. Bank Ltd.,8113,HDFC0CMBANK,Co-operative Bank,Live,
167,Pavana Sahakari Bank,8130,IBKL0087PSB,Co-operative Bank,Live,
168,The Vasai Vikas Co-op Bank Ltd,9803,VVSB0000001,Co-operative Bank,Live,
169,Poornawadi Nagarik Sahakari Bank Maryadit,8106,HDFC0CPNSBL,Co-operative Bank,Live,
170,Standard Chartered Bank,9036,SCBL,Foreign Bank,Live,
171,Dhanalakshmi Bank,9048,DLXB,Private Bank,Live,
172,M Purse Services Pvt Ltd,8823,NA,PPI (only for sending),Live,
173,"Jalna Merchant's Cooperative Bank Ltd., Jalna",8117,HDFC0CJMCBL,Co-operative Bank,Live,
174,Kottayam Co-operative Urban Bank Ltd. on,8102,lBKL0027K01,Co-operative Bank,Live,
175,Shree Mahalaxmi Co-operative Bank Ltd.,8387,IBKL0116MCO,Co-operative Bank,Live,
